id,timestamp,latitude,longitude,pm25,no2,so2,o3,co
225,2024-08-01 16:00,40.725413,-74.052293,12.5,,,,
2456,2024-08-01 16:00,40.64144,-74.208365,15.5,9.7,0.0,,0.4
4645,2024-08-01 16:00,40.85355,-73.96618,11.0,10.5,,,0.4
6853,2024-08-01 16:00,40.770908,-74.036218,11.3,,,,
9060,2024-08-01 16:00,40.816,-73.902,14.0,12.5,,0.065,
11238,2024-08-01 16:00,40.81551,-73.88553,15.0,,,,
13446,2024-08-01 16:00,40.64182,-74.01871,14.3,,,,
15654,2024-08-01 16:00,40.69454,-73.92769,16.4,,,,
17861,2024-08-01 16:00,40.73614,-73.82153,18.8,5.9,-0.1,0.064,0.253
20037,2024-08-01 16:00,40.739264,-73.817694,12.3,10.0,,,0.261
226,2024-08-01 17:00,40.725413,-74.052293,16.7,,,,
2457,2024-08-01 17:00,40.64144,-74.208365,14.8,23.0,0.1,,0.4
4646,2024-08-01 17:00,40.85355,-73.96618,12.3,18.0,,,0.4
6854,2024-08-01 17:00,40.770908,-74.036218,13.8,,,,
9061,2024-08-01 17:00,40.816,-73.902,14.1,16.0,,0.053,
11239,2024-08-01 17:00,40.81551,-73.88553,15.0,,,,
13447,2024-08-01 17:00,40.64182,-74.01871,15.3,,,,
15655,2024-08-01 17:00,40.69454,-73.92769,16.6,,,,
17862,2024-08-01 17:00,40.73614,-73.82153,19.9,6.0,0.0,0.062,0.268
20038,2024-08-01 17:00,40.739264,-73.817694,13.2,8.3,,,0.281
227,2024-08-01 18:00,40.725413,-74.052293,18.6,,,,
2458,2024-08-01 18:00,40.64144,-74.208365,15.2,38.8,0.1,,0.5
4647,2024-08-01 18:00,40.85355,-73.96618,15.1,29.4,,,0.5
6855,2024-08-01 18:00,40.770908,-74.036218,14.3,,,,
9062,2024-08-01 18:00,40.816,-73.902,15.7,28.2,,0.042,
11240,2024-08-01 18:00,40.81551,-73.88553,17.0,,,,
13448,2024-08-01 18:00,40.64182,-74.01871,15.0,,,,
15656,2024-08-01 18:00,40.69454,-73.92769,17.1,,,,
17863,2024-08-01 18:00,40.73614,-73.82153,20.9,11.6,-0.1,0.055,0.327
20039,2024-08-01 18:00,40.739264,-73.817694,14.1,13.8,,,0.333
